Id,Designator,Footprint,Quantity,Designation,Supplier and ref,supplemental parts,
1,J7,PinHeader_1x32_P2.54mm_Vertical,1,Conn_01x32_Pin,https://www.mouser.com/ProductDetail/TE-Connectivity/3-826936-2?qs=xF5SkmKSM76zfahaczRa9A%3D%3D,,
2,F1,Fuse_0402_1005Metric_Pad0.77x0.64mm_HandSolder,1,Fuse,https://www.mouser.com/ProductDetail/Littelfuse/043502.5KRHF?qs=PalBzRKzfnviFVYPMWoZ5g%3D%3D,,
3,J16,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16_Pin,https://www.mouser.com/ProductDetail/Amphenol-FCI/68024-116HLF?qs=C9AXj6SgtYUh%2FNWF9cqh4A%3D%3D,https://www.mouser.com/ProductDetail/Samtec/IDSS-16-D-20.00?qs=rU5fayqh%252BE0O0Dd9%252BPEI9Q%3D%3D,
4,J15,UJ31-CH-G2-SMT-TR,1,USB_C_Receptacle,https://www.digikey.com/en/products/detail/cui-devices/UJ31-CH-G2-SMT-TR/8024063,,
5,"C33,C31,C17,C16,C42,C29,C30,C44,C32,C55,C43",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,11,1u,https://www.mouser.com/ProductDetail/KYOCERA-AVX/KGM05AR51A105KH?qs=sGAEpiMZZMsh%252B1woXyUXj17cMikWvs6%2FOLf1Lx9KFIM%3D,,
6,"R7,R8,R10,R15",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4,10k,https://www.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/RN73C1E10KBTD?qs=CXI0wBT1M2iAWhqqLC6L1g%3D%3D,,
7,"C9,C35,C10,C11,C34,C12,C5,C13",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,8,15n,https://www.mouser.com/ProductDetail/KEMET/C0402C153K3RACTU?qs=ZP3UR5XsUoduxSHfolMWsA%3D%3D,,
8,"C38,C15,C47,C53,C20,C23,C78,C3,C40,C50,C58,C19,C41,C26,C45,C51,C79,C46,C27,C14,C39,C36,C77,C28,C24,C25,C57,C22,C4,C48,C21,C49,C18,C37,C56",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,35,0.1u,https://www.mouser.com/ProductDetail/KYOCERA-AVX/0402X7R104KT7AT?qs=sGAEpiMZZMsh%252B1woXyUXj30ZYomYlxpXfdgyeMcG5u4%3D,,
9,J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,,,
10,"C7,C2,C8,C1",CP_EIA-6032-20_AVX-F,4,22u,https://www.mouser.com/ProductDetail/KYOCERA-AVX/TPSC226K016R0375?qs=iBwFsHVUAOd%252BY4clhItAJQ%3D%3D,,
11,"FB3,FB7,FB5,FB9,FB8,FB6,FB2,FB4",L_0805_2012Metric,8,FerriteBead,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/HI0805R800R-10?qs=UV0HhPl4yOF%252BhNGXb8sElA%3D%3D,,
12,"J11,J8,J13,J6,J10,J9,J5,J12",SMA_Amphenol_132134_Vertical,8,Conn_Coaxial,https://www.mouser.com/ProductDetail/LPRS/SMA-CONNECTOR?qs=j%252B1pi9TdxUYkOiITvzJM8A%3D%3D,,
13,FB11,L_0402_1005Metric,1,FerriteBead,https://www.mouser.com/ProductDetail/Murata-Electronics/BLM15BD102SN1D?qs=VC7md5PxyA1Y4EgP9YhX%252BA%3D%3D,,
14,"C59,C61,C72,C54,C62,C63,C68,C66,C67",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,9,100n,https://www.mouser.com/ProductDetail/KYOCERA-AVX/0402X7R104KT7AT?qs=sGAEpiMZZMsh%252B1woXyUXj30ZYomYlxpXfdgyeMcG5u4%3D,,
15,"JPG1,JPG2",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,0,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW04020000Z0EDC?qs=sGAEpiMZZMtlubZbdhIBIIZe04wfiaJW9KIkhfRMZVI%3D,,
16,"C73,C70,C71,C69,C65,C64",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,6,470n,https://www.mouser.com/ProductDetail/KYOCERA-AVX/0402ZC474KAT2A?qs=sGAEpiMZZMsh%252B1woXyUXjzY5digEXfcQYtFZchTdIyo%3D,,
17,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,49.9,https://www.mouser.com/ProductDetail/Panasonic/ERA-2AED49R9X?qs=sGAEpiMZZMtlubZbdhIBIKHZJwodQ036pHeX4trellw%3D,,
18,"D2,D1",LED_0603_1608Metric,2,Green,https://www.mouser.com/ProductDetail/ROHM-Semiconductor/SMLD12EN1WT86?qs=qSfuJ%252Bfl%2Fd4fR%252B9yZydIwg%3D%3D,,
19,"R3,R2",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,200,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0402200RFKEDHP?qs=sGAEpiMZZMtlubZbdhIBIHEwn6Ulz00PjH77PBDsIyo%3D,,
20,X1,Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm,1,XO32,https://www.mouser.com/ProductDetail/ABRACON/ASV-60.000MHZ-E-T?qs=NE97hfUNX0FMmM33%252BKetqA%3D%3D&countryCode=US&currencyCode=USD,,
21,U1,IC_TPS61196PWPRQ1,1,TPS767D318PWPR,https://www.mouser.com/ProductDetail/Texas-Instruments/TPS767D318PWPR?qs=6zVL%252ByCp0mo1sIrGyoyUVQ%3D%3D,,
22,J14,BarrelJack_Horizontal,1,Barrel_Jack,https://www.mouser.com/ProductDetail/Wurth-Elektronik/694106301002?qs=a9WhcLg8qCwOEkcI62k5mA%3D%3D,alt:,https://www.digikey.com/en/products/detail/cui-devices/PJ-002AH/408446
23,IC1,SOT95P280X130-5N,1,MIC7221YM5-TR,https://www.mouser.com/ProductDetail/Microchip-Technology/MIC7221YM5-TR?qs=U6T8BxXiZAWrxxu6IxkTvA%3D%3D,,
24,"C52,C60",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,6.8n,https://www.mouser.com/ProductDetail/KYOCERA-AVX/04025C682K4T2A?qs=sGAEpiMZZMsh%252B1woXyUXjzY5digEXfcQ7lRfar6KRLo%3D,,
25,U2,QFN40P900X900X100-77N,1,FT601Q-B-T,https://www.mouser.com/ProductDetail/FTDI/FT601Q-B-T?qs=p9T7GgSe1IHuZCV7KGuelQ%3D%3D,,
26,U4,ZCF135_TEX_NO_PASTE,1,AFE5812ZCF,https://www.mouser.com/ProductDetail/Texas-Instruments/AFE5812ZCF?qs=jpHf3Ogds1wdWEifNjYuZA%3D%3D,,
